Company,Brief Description,Protein Category,Company Focus,Company type,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Region,State,City,Website,Year Founded,Founders,Logo
"Soya
  King",UK-based company that produces canned soy cutlets.,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other meat/seafood,,Soy,Europe,United Kingdom,Leicestershire,Leicester,https://soyaking.co.uk/,1990,,soyaking.PNG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/UmmbPkq-ve8rlfJMBhcHgg/-4WD3QMR6-B0r_8lOL0zL1KSBQMJkBTmNwGNItLwth9C4tJ2N3OiHoM_vyzKASQnVEcPwVhb2LaM8ZvA0TeNEIWJIeOm6rrLSRC7iGWrZ8Nty-I61D3pwTsf8BLKWSX_uej4a8de3SPDpSCr9pR1yg/SHqR02cpmDbiZzw7HQ-CIM48gbYqmqCf0eCeupaV5eQ)
"Goshen
  Alimentos","Brazilian producer of plant-based meat products such as burgers, deli slices, and sausages.",Plant-based,"Meat,Dairy,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Other,Other meat/seafood,Cheese,Whole muscle meat/seafood","Turkey,Pork,Shellfish",Soy,Latin America,Brazil,Sao Paulo,Ibiúna,https://goshen.com.br/,2009,,goshen-vegges-logo-transparent.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/bbq6U2UfdV-ghBMHpcyMFA/S2msQnFibSnWu4cpf5hnlHQCAUUP8elVeXFyhsghWmKPW_K22A3M6F0nQdBdFPN73SUMVHJ8LuQ1Ct0-PBWloDcrMk4q-tyPryu5jBd7t8Kael56OWaz7LXOXKWlAkAbWILiAdYQ1-mXpx_lgdTddh9Pgt4J00MW1Ozwm35UXSo/iCCj9TW_RZbY0fHa1_bRMhV9b9q63JA3Ah2IhUBqoEE)
Calabizos,Spain-based company that makes pumpkin sausage.,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,,,Europe,Spain,,Nigrán,https://calabizo.com/,2015,,logo_calabizo2.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/CT5fCDx6lYazyR8KVF40ww/wrZBT6EjVPOrec2R__ApAsUNWy2KtFRRGt4NJQCiM9Uj1L9nOjGs90sebxm6gqKuKGwKXzWTGpAljY09mYjlWopBLTXLjYg6uOIwpKo4VQnyCTXZdsynklmvjL7Gm8iM5jMIKC9ObC9zweJTvbawsw/p6q4b8IbWVfxXXacSQH9kt8zYUfHmLxDM6K3D5kfM7Y)
"Food
  Heaven","UK-based producer of various plant-based dairy products including ice cream, whipped cream, and creamer.",Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other dairy,,"Soy,Palm",Europe,United Kingdom,,Crewe,https://www.lovefoodheaven.com/,2013,,Food-Heaven-Logo-copy-1.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/tNcT7bhajSi6znGp_a5P7g/ObEONVeLmQ3CQPDbu3oNKd97nwdf5GOnZakAWxyb6LeUvbiecapwSzsZdU1jc-XX3CsO35a6IQShfaZGiTsvnda8naSWSYjShq5oncU2tUg2huzsjotdQmEtAIMJkjSpiVXCksWsZNZfJyGtXbkUQbeacQgA_za8gZ8YpzQgx38/EtBrmpXTFpVT2SU8hzM-DnVdXhRcQ9rxnA_GcBbxWO8)
Sojasun,"Sojasun is a French company created that sells soy-based products, including milk, meat, and desserts. ",Plant-based,"Meat,Dairy",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other meat/seafood,Other dairy","Chicken,Beef/veal",Soy,Europe,France,Ille-et-Vilaine,Chateaubourg,https://www.sojasun.com/,1988,,sojasun.PNG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/LmopKGQ16mr1O8U08dRdog/cYWBtDr4O8GT_azuDqg5Os29Xz_ZDpsBf7Os7WCgJbjIwsGmKqbey0eh8EPUaNTWC30UoJlA9fuulGcvMEEpzedXsQrodlJElnw-J1teQL1tPQgQ-6SwhOeQTClt0YKEP9oY_UCXYXy1yrTiFsc68g/25nJRLogg2kt8DY-YBp3EjyO4rh0a8L0JAG5Q6x1oro)
Vegini,"Austria-based company producing plant-based meats that are  protein-rich and free from soy, gluten, lactose, and GMOs. ",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other meat/seafood,Ground meat/seafood","Beef/veal,Chicken",Pea,Europe,Austria,,St. Georgen am Ybbsfelde,https://www.vegini.at/en/,2015,,vegini.PNG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/NcFpy1HTfeM9w-hvwZyM0w/iXq0a94DPniHjWOPMNIm9tIcHNyLMJ9iXxSHPNMaqnNUVLDqWiAbdmcjjhJF2ibfTOvtSWsr2EDJCBfu-itQyw9BhpB1PtUAKHbXRJh7ohZJZ_gmRWbq0nZfy2gILvpUa4Eul2I4pB0YexTNuBZ3sA/vJYjaZNOQPpBohGcZrF-orZ5B4XtF5VtyG3cHxJu7WQ)
SuperBom,"Brazilian producer of plant-based dairy, meat, and mayo along with juice, jams, and snack foods. ",Plant-based,"Meat,Other,Dairy",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Cheese,Ground meat/seafood","Beef/veal,Pork,Other",Soy,Latin America,Brazil,,São Paulo,https://superbom.com.br/,1925,,superbom.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/gBzHBJ4N9IiQzoxBkJdvzg/dUL-9z0quuzl68q9rmN8uMnNPaBZvokiHyETMy-j4Yvb4MESes_MQX5939nwkM6C9M76_AX6pZmIrFc5qEZxiyZXUjWm8UQPIVkQAJP06COsKvr-w1aDEsnCj_8MKJ9F2nx5kBuQ6wZhZUtlefChMg/1DKbjhK8_WFJiTrjWnllaqLH54pT294eZ3vXb7Wn_Bo)
Anamma Foods,"Sweden-based company that produces various plant-based meat products, as well as plant-based pizza and buns.",Plant-based,"Meat,Other",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Other meat/seafood,Other",,Soy,Europe,Sweden,,Malmö,https://www.anamma.eu/,1998,,anammalogo.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/4xKIgkgLTac5JpXXHFXodw/iErvtlMgW_-Q56ft4liHADJxiWFogGanztLx9aLe5b__FwUzjcx__HeX_NimoxF2BgQ7G4TpySxDyr3Q0A7MprpjelOf5u_Mj20vCXHqoCrIqeKLg7hLISasE1nPtvvdbzAFw8qDbEMLEKvYiWnSqw/tdvuIMzK4sNOVfQdeF6YwcX92Ao9w4zotgeOlI0Bluk)
"Tyne
  Chease",UK-based producer of plant-based cheese using organic cashew nuts.,"Plant-based,Traditional fermentation",Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Cheese,,Cashew,Europe,United Kingdom,,Stocksfield,https://www.tynechease.com/,2014,,Tyne Chease.PNG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/-pRi_1Pvcc8eykVyEg_umg/N3ooqkEFj9BdJen3zrO0rA59lzPWT7C91eTdy0CX5KDUGQkhQzbbJ7CzXQLZIjAJYLl__wtGIIIwbcywoymXMf5M-HXlgIsG_IyowBdqDq_otA8hgPqMQeuW654HmsJHL9z59jpIX3eixxIOw8NX8g/MvyrnTylnNejIPF6SktTdGjbnHCWBX_PAXIOUKOpxgg)
SuXianZi,Malaysia-based company that produces vegetarian and vegan seafood.,Plant-based,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Whole muscle meat/seafood,Other meat/seafood","Fish,Shellfish",,Asia Pacific,Malaysia,,Johor Bahru,http://www.suxianzi.com/usr/home.aspx,1989,,suxianzi.PNG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/AtwmHiQKhDjl35StmoO2gg/gxJmb0b2sjTJVhiH4ONVkMZgtgBpCoyAF8TRkCBZs6AhC95vcWOrVGP64fIWsflPHV-BGlGFsQDm8iCfL-9UzX1L_MAUpQgDBq6eGj7VqRfMv3Ea5kFf__8TJ3WM0zaHsq9z_qK1jfuotF8dEfgSfg/RsZdHm5TI47325fxXl0DGcHBTdz_gGQH5GA3p_-z45M)
ForA: Butter ,"Plant-based butter company in the US, whose first offering is FabaButter made from aquafaba. ",Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other dairy,,Other,U.S. and Canada,United States,New York,New York,https://forafoods.com/,2017,"Aidan Altman, Andrew McClure",Capture.JPG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/2-BorsSa4gfO55hZINdOhw/I4T7gQbTL6GBk7wXQQxSW4FJGlw4RHrIxgp2BFAqNDfbgl0gDUKpgebyL8Xas9r8ddLe-NvZqksAGFPxsogRpr58M6KZgiULITZ3mTmg3RWwi6URN9uhUO_32Xhza9tuJDRWLxt7sUgx7GJSyo_jyw/qeor5WlUgKrDItj8MJOmEmvPc7MOuGwSf7J7kgrSpnk)
Endori,German plant-based meat company,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,,"Pea,Wheat",Europe,Germany,Bayern,Stegaurach,https://www.endori.de/en/,2015,,Amidori.JPG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/dE0tBpPsYlBEIoEO4Ho7eA/Nkc44eGL6PixFDtNgwrgahlIWp-8wC86cTv0NZOMEBG3PNdJ-mWF9jo1B34BgpIkBDvAOtMwg_gyO0QV6VPXbgTwdOytgQSop2b8GPUSEQPG7FuhYBtT74qis02NZbVg1T8MhN0u-1s5d6JplIpZjw/3dI4UbJm0PTXFZAGpO84X8ZMykBnmSZBjf5jrAoDa-M)
Tossolia,France-based company that makes tofu and soy based alternatives to burgers and ground meat.,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Other meat/seafood","Beef/veal,Chicken",Soy,Europe,France,Alpes-de-Haute-Provence ,Revest du Bion,https://www.tossolia.fr/,1990,,tossolia.PNG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/qJUU1IQq6t73-xjXvh9kgg/BF6qR73WxHSsLkbaUoCBqPG3KIbppcgrsawjeLBLBJWJ4DSxFnGJmbi9eEZsM5i6iamp6V3UZpFgblMIpZjUTRXu0V_WKPM0OG0BkXQ0gNpeR8wp6YkKy_15YGNC94juk1P41Af3FC8czdM0utS8lQ/cY7o6l3xIvHbZmZ5R76qgn5LPPrHCWXaLpMlpZPv_ok)
"Good
  Carma Foods",Sells various plant-based cheeses in the UK. ,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Cheese,,"Soy,Cashew",Europe,United Kingdom,,,https://goodcarmafoods.com/,2013,,Capture.JPG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/7LFakeGoQo5UPA9Pdk_m2g/feZjyeLiCCid-R6FVTdM8hFMlqsNyKhZ2CfhdOIXzTojYuL2UsNB-weyoLd7Sn2iCi4OzXVl2npCufQOgsz5kkd8qi4Oplzjtai-V-2diRrDC2SFjB1gidK_VJCz_sWDJ811-DjiiR9o59-IbD5QVQ/aE2ZzZL_cMhnbZuYnkAoocCM7xQckrxAW5Ox05OswUg)
SOTO,"German company that specializes in plant-based burgers, nuggets, falafel, and other finger foods",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other meat/seafood,Beef/veal,"Pea,Cashew,Quinoa",Europe,Germany,Bayern,Bad Endorf,https://www.soto.de/,1988,,soto.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/wP8TvWtIJsB64_ZJ2sJS3g/GmYlMymMS7MEcsZSCaL0COWpWhZYT-98LGvdJyzfqcL1Rqit6C48cY6CH_odrCXYDUAf6VQIjMNHSOKqzlvu0XDioQcnAqgKb7DkCzFykyxKBfjhbPjGt3AwTsEngvfAeRbWLX8yfD2dhoXuLfNG2g/MfL5gpe6ezI4MH2QRUaVsuRLaFNOylVV2uGSc89KXb0)
Soyatoo!,"German producer of dairy-free whipped cream, cheese, and beverages. ",Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other dairy,,Soy,Europe,Germany,,Wiesbaum,https://www.facebook.com/Soyatoo/,1988,,soyatoo.PNG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/KKestGvGFSPzTi6F2lNQcA/AJIjXKB5cjPbwxlQqbDGmJYJKYNkt_UrP-erge8Pg3hlZJa5TT9xtkmQx__2kMK9bg9L1DBsfU3x2qfGDRswrQOTHMuxbIicJYMjxJWjrjdzEgXA3mZqo82J9LDKLcYjqcp3BWlU7MCIwJkAnIYjZg/dghNhLxYX_asgmbjBivAU8dgfTw3wemmoXFO5k0iH6Q)
Bonsoy,Australian plant-based milk company. ,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,"Soy,Almond,Coconut",Asia Pacific,Australia,,Coburg,https://bonsoy.com/,2011,,logo.svg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/vZnGYLQOMz-xP6n-o-LHTQ/mWB8u_Yvk2PtQFbIXoeepYOWKf5_Mdk11_HarPnQM9My-77jq1DIaG-LJQkum1TvLktKDwqw4y3xGCLeEFRvDDr2n75mEaMSpROlamMzb8WHr_83yVcNB7Zh8Hyhz89hU4kMWtcGBTkoTLmbSuW8jg/CeIvI5eInFvOn2mU1SUvv3bHMURq9nU1FbE_NFp6cZ8)
Macsween,U.K.-based company producing plant-based lamb and beef haggis products.,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Other,"Oat,Lentils,Other",Europe,United Kingdom,,Edinburgh,https://www.macsween.co.uk/us/,1953,John Angus Macsween,macsweenLogo.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/_kf-BBmOUGBAG9gjH0jcPA/axfYD0YDsDO1hWSYaKZqFQoTJ3IrzABiySW91ySQYnr1ltImZOI5_NlqWNtMOFsbs74e9dTt1TUYDIszagHi-t6mY9S0zTe0RMlDZnbIhy-VILwy_zgevoNtKyOVAFM1p3JSDXVxXEGjOUD_Nb4LMA/c6ENb1iPDLEBPYYPBlclse7h31Ed5pr7QiNfSFGpo-I)
"New
  Roots",Produces artisan vegan cheese and yogurt in Switzerland. ,"Plant-based,Traditional fermentation",Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Cheese,,Cashew,Europe,Switzerland,,Oberdiessbach,https://www.newroots.ch/,2016,,NewRootsLogo.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/Sjx-WsKW3uXFXiIfw-qZ8Q/zXzEUsJ3YcVeCDMew2o_hUm-fkDVooV1rQ-NZCQGypOtnOuTnW_oKTP9s95G-MW9EtiGuh8Bsy8elUA8dNGs73XV10rm7OWUeQrxgG9zNb4e9T4MgYVNvT3x_Q4-WGOWVoxt_uGxwaXgorQwbGxSmw/CFol0e-ytYle0Fr7U-PVCqVol4WM3d2in57MG580q0o)
Vivesoy,Spanish maker of plant-based milks sourced from local nuts and soy beans.,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,"Soy,Almond,Blend",Europe,Spain,,Madrid,https://www.vivesoy.com/,2002,,vivesoy.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/PmObh_oJRNn2yxVY5JdlgQ/F3PPJDflV0az9KsYxXq0SW5nyok4t5pyWINmsFfFjOQKQo1sHFiZ3PjOP5ouwOpWxi0i5slAFH2FQWHDc7tfEfcQQwGk5Z98ffv2Bs82QXBdAJ7uAKQ2vQSf73nh12Z5kA2NL671kaaVC9fLQ5kfyg/Abb1_yJLRc3PCVs_OP6rWAqnk-9VIj_1wTKKoJKU2iE)
Yves,"Canadian company that makes various plant-based meat products, including gluten-free and kosher options.",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Other meat/seafood","Beef/veal,Chicken,Pork,Turkey","Soy,Wheat",U.S. and Canada,Canada,,,http://yvesveggie.com/en/,1985,,yves.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/ACGDSKy4-nkZ4Hun7GClzw/5451hc7YiL5_h9MfrjPo9voYMsOMuM-zj-61KiDBah1RMhyYzvcAfA19ZXk6cPUfZfggP4Dl_TGhifK8pXSP93OIdHRjDeY7lMaFWey_Uym-lYr41GHSlSQ9OrXfzGtPZ_DJYioS6WslQLh784aCGg/rvPQFylBpUcpBNUXlzN3HiuqAuY-2iES36Kk73KI1_E)
"The
  Cornish Coconut Co Ltd","UK-based company that makes non-dairy, vegan ice cream under the Coconuts Organic brand name.",Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other dairy,,Coconut,Europe,United Kingdom,Cornwall,Helston,https://coconutsorganic.com/,2014,,cornishcoconuts.PNG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/KKkHBL3k-FiWrE1S9ZYvxQ/flhGqks1kppXR0CPmXuXvZd7BRp3OoLcSQ7golbQXKAMHwgClJXWs9O4KLEunq2og15bGVMvl-CpayFWwRspbXknHz450b85WMaHVDOqHzSyyJbhykrPdwOfsrNvbCZgqvj_4t-tzTsENFKeUWKdgA/AorWq4HUxVkIhgwmRd1fu0O17DdQQWdD8_b7OhCVjVI)
"Little
  Island",Coconut creamery based in New Zealand. ,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other dairy",,Coconut,Australia/New Zealand,New Zealand,,Auckland,https://littleislandcreamery.co.nz/,2010,"Tommy, James",Capture.JPG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/R7oE54EdXZNfgn3fUNLS3g/Mu_kojCI50pZovejOxYnGzyYR_yOkvrl3g_ulCMkFs11_Pwgt-3tuwh7HySjPZLbWRgQu6aG3P1Vt8pioftpE85t15xjJ6igmpeKSppoTV-tgCHLyhKdNmSjg7HiNl7HApFawSzvKtBmmfuaogdlmA/xIY8hYkO1Mtl_f0-Yi04ibxMfhOjCICwdSirI0X79Js)
Bonsan Absolutely Vegan,"UK-based producer of a range of plant-based meat, egg, and dairy alternatives  as well as a variety of spreads and sauces/dressings. ",Plant-based,"Meat,Eggs,Dairy,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other meat/seafood,Other dairy,Eggs,Ground meat/seafood","Beef/veal,Pork,Fish","Jackfruit,Soy",Europe,United Kingdom,,Surrey,https://www.bonsan.co.uk/,2018,,bonsan-logo.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/j4MWqRP3zxGmO5nJKuhdNw/WKZ26oCar-yDLg6NR_wsNJp_2Lj52LWR3fXMfXB_pvJGFi0edUyrJkms3W6BzzscfB68oDzfs5OSaC3q9Glcl8d238xqsjLQOR-xxKLolMbNBXC2UV98beHFqnbHfVZ_PgPAwJVdNDzTwcEBv4_8CA/-LzSTVXa8DSxrJ35y3x3ePzwXenYeIgUoc42t2vmv90)
Promeless,French producer of plant-based meat and cheese,Plant-based,"Meat,Dairy",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Cheese",Chicken,"Wheat,Potato",Europe,France,,Paris,https://www.promeless.com/,2017,,c45b61_b3b57a21043b4faf963bdde3d27c4966_mv2.webp (https://v5.airtableusercontent.com/v2/24/24/1704348000000/giZhXRn1hKIWX2xR9mlx3g/UBKsf3qVe1pkCAFS-YRq3llFRiVJzPBlMH4bCE1CVWZAjc7ebcvYhtdG4mWx5v2co4ADCHh4gsePiOnHoSDxlh2d-i2wcdmRcDHNBeKknl5y0KFyFNXrFcCr9QrwWGNew2KqCvwaZyPhGLYgIb6fQ-D3gCdCd61hQTQC9CXdNxsadg-NbPn-CkVm539NmaAg/qa0mIKL95IGbKzc1BGgHrVRFq9jV1Ndy9ioM0UnFtso)
"Berief
  Food GmbH","German company producing plant-based meat, plant-based milks, plant-based yogurt, and tofu. ",Plant-based,"Dairy,Other,Meat",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other dairy,Other,Other meat/seafood",,"Soy,Oat,Rice,Almond,Coconut,Cashew",Europe,Germany,Nordrhein-Westfalen,Beckum,https://www.berief-food.de/en/,1985,,berief-logo_en.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/RzalQ87w0lOXbP1zAJM0fw/EC33RxoZMNGE7nJ2oSUSjCdh5Y1jJceSTREqTC8MTENk8Vnj07p21EQd63zhC0GDWDvo8h6TsPbl6J20kGvxosw_jhDI02YUQU1em2jy4noGNEwm5GfygxAjENF1wHG4kkxy0rXsVeo7vSwfdgsuzg/A2ipQPWxi6mp4BXsTGeLIiVIc3QHsh1lH4-w-riHpds)
"Hälsans
  Kök",Produces vegetarian meat substitutes in Sweden. ,Plant-based,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Other meat/seafood","Beef/veal,Pork,Fish","Wheat,Soy",Europe,Sweden,,,https://www.halsanskok.se/,1969,Erik,logo.svg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/twAifBo5ruSKTYsrkrthPg/-SuzR4erdhor6KSRjUYtStZna3Xe-Z7urG4_2ty2ZhTwvGQ_U9whgUZS5B0ZGhi9012bwfUXt4q9ILbRVcITb3-cZOdCy_JBBC2NjZuWGne4zs4aPHNo--lyQ_LsAg47Rglq0wGI9J-1HL_-A55mVw/pTl4UX0yUWC9YxcK4jcvxFKeTcnSBxxU15tOkSVxysI)
Kashew Cheese,Produces plant-based artisan cheese in Vietnam. ,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Cheese,Other",,Cashew,Asia Pacific,Vietnam,,Ho Chi Minh City,https://www.kashewcheese.com/,2019,Lê Na,5f6dd2c2379bd7e1a508055e_Logo-w-Icon.svg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/eT35fnv47mdbFoUYXg9VPw/KtBhtowQBB6_80TQYPy0BDG0Xm9HC3QK5Bw3pmNSf6GzfoJKQPVvbX9xImT90vUcf7cnnfu9B3KU4xHdeHhiOR5zF0vYE-1r_T_SuK0BRLbIif-myjRaOXx3yOSR9KhH8aPlAuK-odWTZ1GuSqEds_XXSRfPyFlbDiR1dix0XJsotNtv2Rq0Q1YpMqug_pu-/upr6n3RVD6wxoMhRyV-Ix3bPyVetMC3G7HrP3r5wgBo)
The Good Choices,"Produces various plant-based meat products and plant-based ready meals, based in the Philippines. ",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other,Whole muscle meat/seafood","Beef/veal,Pork,Chicken","Soy,Mushrooms",Asia Pacific,Philippines,Rizal,Manila,https://tgcph.store/,2016,Camille Acosta,86933486_1096828317317511_5079301772485328896_o.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/nbjq3wXursEXZZR1k1tcqg/Znu4A9mx-CwEKwpcVgep_A6BOfmGWNtbt_kiT37GK4IfiWiIj4iSDMqZxnHMh2rDRT0V-GVUWE_-9fRT9As9hK-MfjpoPmPuujvBalQ-mv1DGNYIfleOXbV2UbERNocmewL8kCRr_nrBgGjFm9AHcaMzmLbC-b1oAMEZ_rQWVQRn0ANsQCpw-iObOQuf_uD1/y3TwErnDT-ZYLDQB72z_NNlxT4lTQV7KaiC8DWsEa7w)
OmniFoods,"Plant-based meat company based in China, primarily producing pork under the brand ""Omnipork""",Plant-based,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Other","Fish,Shellfish,Tuna,Crab,Pork","Pea,Soy,Mushrooms,Rice",Asia Pacific,Mainland China,,Kowloon,https://omnifoods.co/us,2018,David Yeung,download (1).png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/cLPfZbZ09VIbOMyNt-QjBQ/T8zKQttzIosvkoiw35BGJ11HzYmvz6iYZKehot97dbMqhCmIFrW9yfeuFXigiJjYkgc3YqYhzFHry-76a8hVQawvBrxHC1tIluk2-3Xz-o9K-cF24JctMDB5kKYWtXdb_ER0RuNBnz-FOugpcuTRwg/x0OMy_aps1bSc6rDavkQ4Yq1Lq1jGC_OE8M0vB7LLV0)
In a Nutshell,Plant-based cheese company in the Philippines. ,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Cheese,Other",,Cashew,Asia Pacific,Philippines,Rizal,Manila,https://www.inanutshell.com.ph/,2015,,62af58_7b14f0b4a452408485e7cd7c02b05865_mv2_d_3472_3472_s_4_2.webp (https://v5.airtableusercontent.com/v2/24/24/1704348000000/ebvPXYANydPIlSmUokoBmQ/_qPwf0IItkL6ss37aU-4DLIUhRUwWy9B2XmdVAFK0scpCn9fG816x4CbJ4a9TKnOPd6jN5nsKp0doq4pTCO0L1wflMqwdOmDx3luPWtNomo9Z1LNFTmAZp6qx1C2LDXgnstQLOluqdO2AEQZsB2oFYp3bo62S4qTqWS5cCoraT435RYlGubdOeIt575d8CYMLoFzfF0WPkRNm37s66lkMA/_eNTd9CtBUbW6JyClZKFNMQjh8OwzCmxc8DJ0TCyUd0)
Kroodi,Produces vegan artisanal cheese in Singapore. ,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Cheese,Other",,Cashew,Asia Pacific,Singapore,,,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.kroodi.com%2F%3Ffbclid%3DIwAR3JVz2NLndvGhuNKENeVz0T-XBK265dxzHMX05pvQ4Jy49HYqke_omckAo&h=AT3sidHr3fsHpto107TPeA3KzNfFW661SkKvd-4-I8XbZ_O-3q4oxgvlzx59Q0dt0anc6wkobuxHE-CZ-3iL3vr2PKAnBLU9sJ8i0tXQ5HSYpdWxqfp240P14_qIlA2cRaHmYDKZVfZrNG9isq59FL9xzI4,2017,Claudia Cani,download.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/LG-ei8FMc4QOktxTf3RsEA/utIEYoGPVP85HkLI_-BJnbyhDkkz_aHU40FFtg9xvJVlJrGpLAoGbGJwGpiqLAcOHXycy3UGfBErp5aTGDlGszYNYKytp9Y-lDdYLTb9NkTH4LyD3e6wee6ExXV2jcYMMQTWgjjXc5siPDhskvKKvQ/JhFm49eXQ_uRf0T-qltKNqOd-Pb3EwefGcki24bi9Zc)
Ideal Nemoloko,Ukraine-based brand of plant-based milk.,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,"Oat,Buckwheat",Europe,Ukraine,,Kyiv,https://www.loostdorf.com/press-center/liniyka-roslynnykh-napoyiv-ideal-nemoloko/,2018,,
Velle,Produces various plant-based dairy products in Russia. ,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other dairy",,"Oat,Coconut",Europe,Russia,,St. Petersburg,http://velle.online/,2005,,logo.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/jwfkWP40ybGsopoX3-fnMg/L5OC_Yp2Ft8cv0TmE-itt3hBolItpEoaE7fx2SxUAbeQ6WkxneYGEVmuiBOV_q16-HoOoT-Xb98pdmPT3D_rQ4TuGy0CFV9d98BXVaHUMt8XZtjZPVcc2i1Z7-DSOlMDmupCAkGdIR66sOUQvXcw5A/uZJLR45WGIXSvoj_8F_asP_NMIY9dtrQiKEyQ9Qslqw)
Nemoloko,Produces plant-based milks and creams in Russia. ,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other dairy",,"Oat,Rice,Buckwheat",Europe,Russia,,,https://ne-moloko.ru/,2018,,Capture.JPG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/xOHnJs7VeVFLVpaxoe5v0A/y20lfv3KdFb6ni-2tFqZD_qwI8awbDmadUw03P-VztUM78pcQgLyGKeRQWo0rVjA6DBuME6-_UwyCeIDHeadCZ3FNdXK9WAG62HNNezGSyOOlhoySSlYOcpjQ-pbmOaO545Vx1j556djMObytCExQg/Bi6EcNYvrX9idSDu6tLdaj2DyquVHua7IO4mdW8rbGI)
